x,y,label
0.46850803,3.987419,1
9.452781,3.5551398,1
3.3190637,3.4684553,1
11.24882,5.615322,1
1.9109187,0.80080634,1
0.5519213,3.3904302,1
3.4056876,2.3962488,1
1.1894089,4.749697,1
6.2719316,7.328669,1
1.7761841,8.41622,1
9.784323,5.49516,1
3.272148,6.4735203,1
0.32704014,2.741139,1
2.3932467,1.2482808,1
6.8780007,2.9595685,1
2.2117207,2.6619792,1
7.245858,5.959676,1
8.559468,6.432479,1
1.0535141,2.3875492,1
9.025699,6.646768,1
10.789834,5.234588,1
7.550199,1.8817341,1
6.88232,6.0786023,1
9.675303,4.920374,1
1.0004296,2.5186481,1
3.2233686,6.690939,1
9.224818,6.5394044,1
8.751267,7.831594,1
8.436023,5.9072227,1
2.7376015,6.3611526,1
-0.33246872,3.8081973,1
4.9913664,8.664938,1
6.9418826,5.5013623,1
2.4054365,1.0984569,1
2.9100945,1.7255613,1
8.787528,3.7765954,1
5.3170967,2.3346493,1
2.8620477,7.9674654,1
7.245265,2.9209015,1
1.5468961,3.1615577,1
2.19693,6.3263497,1
0.7923092,6.0544777,1
8.760505,4.915292,1
6.4428153,3.6898332,1
6.56853,7.4936414,1
3.7694223,6.426655,1
0.5421709,6.7253404,1
2.7408848,4.1533494,1
8.40805,4.9815893,1
4.0385284,0.062472433,1
3.773329,4.5357122,1
4.180294,2.9535406,1
7.872559,5.539991,1
6.7246356,2.8525043,1
-0.7288613,3.3931282,1
7.5305777,6.3623605,1
5.0694475,7.0127225,1
0.38849175,7.035931,1
2.4597032,7.207528,1
3.458729,1.5896099,1
7.0621285,4.5362644,1
3.7029572,3.7079275,1
7.9386864,1.4607128,1
3.8656268,1.9303619,1
5.052581,8.508032,1
7.629903,6.585171,1
5.2534804,8.295077,1
4.3839808,5.862555,1
5.087204,7.0440893,1
6.732461,7.921363,1
9.545114,3.5663784,1
1.3456298,7.533563,1
8.367314,8.024629,1
1.3237153,0.9463598,1
3.5063353,2.077544,1
8.73096,7.930761,1
5.384084,1.0340519,1
0.37955055,5.3188667,1
1.0689051,3.3243136,1
4.701461,7.8443575,1
0.22641706,3.1083653,1
4.7055135,3.6127465,1
-0.7540505,3.4644666,1
3.7827182,7.27683,1
7.2932363,2.8009374,1
9.247202,7.7786007,1
2.9581816,7.2427487,1
4.5863576,2.4377277,1
8.611268,4.3989644,1
3.1443853,2.184152,1
2.0013916,8.320542,1
5.027823,3.997493,1
6.004575,3.330629,1
7.8566623,2.5905545,1
4.993894,7.0958114,1
1.4257305,6.6541886,1
4.9620934,6.530743,1
1.5250441,3.1564898,1
8.244607,5.7941723,1
5.8266234,2.1284053,1
5.5208044,8.563642,1
8.61169,3.6385243,1
3.5946817,0.6808434,1
6.0045986,1.664273,1
0.68104744,3.3252232,1
4.836696,6.2986927,1
10.24245,6.0894527,1
9.617538,2.3532615,1
5.714898,3.9967165,1
7.8571615,5.3841853,1
6.8227487,2.9719722,1
5.2983894,5.6451,1
5.4622426,1.2571534,1
-0.11375263,4.446689,1
2.1726582,8.05902,1
4.3969646,8.537624,1
7.239773,2.0889997,1
2.891587,7.445261,1
8.538962,2.0008287,1
9.833621,3.3728406,1
5.5794635,7.3077054,1
1.7421279,3.2356281,1
-0.7769317,3.5690022,1
